"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
249,"B_p100","gridge",43.2865052059824,4.2252339085347,1.06440999629326,5.98715136348746,5.812941905603e-09,0.686983570191107,0.469313799717663,0,0.510808828434704,0.372838725599994,0.188507436842406,2.44302417617723
250,"B_p100","gridge",46.2437633155847,2.98579814792498,0.594992896397006,5.99474265362736,1.98273863993847e-09,0.859659376768977,0.712914153988954,0,0.693420449146787,0.571456787946409,0.187012232733045,2.48296302891759
251,"B_p100","gridge",40.6060402167197,10.7635929122767,5.98768460018942,5.94716128479731,2.97744529587085e-08,0.0700157665333222,0.011379159868361,0,0.020371303441777,0.00316831561332409,0.18620412491562,2.74354880436633
252,"B_p100","gridge",50.0505438251092,7.65717425508824,3.34140930157342,5.99668319011455,0,0.249605388089896,0.0987628512935237,0,0.110464460297557,0.0386909630910727,0.214785031853639,2.18691758841204
253,"B_p100","gridge",38.7177543802076,4.62906546796716,1.35917529225399,6.07227722510829,2.14678080867614e-08,0.636302768004465,0.425386033130871,0,0.425063109804591,0.297782415152608,0.182183344656258,2.20504168303604
254,"B_p100","gridge",38.6914879672829,3.65944402822505,1.59811763923579,5.95067978543297,9.80884817813887e-09,0.76661292442622,0.589571341280547,0,0.348193425743062,0.224382516254363,0.211248225145204,2.19933650700361
255,"B_p100","gridge",52.3885955007918,4.86779856882986,0.407914015583736,5.9071807514696,0,0.581012797791608,0.321996666511605,0,0.78198044780823,0.683913213953059,0.206869184148698,2.70367679584653
256,"B_p100","gridge",43.805024300529,3.17490644775679,0.520565926670598,5.97608518378967,0,0.834420383113921,0.656312767085078,0,0.726237967275446,0.615481357167721,0.205968784919559,2.57922942741691
257,"B_p100","gridge",41.8650082192877,3.91110962436656,1.69010690724444,5.95186979987584,0,0.730195602065954,0.50747862929207,0,0.334077849285055,0.201276787395509,0.196919161372304,2.72994382244511
258,"B_p100","gridge",43.7774666429832,5.34535198102089,3.25128254977098,6.09578018852341,0,0.534643571384974,0.305689305570474,0,0.116577016928133,0.0431468541976164,0.195854011280722,2.48666734697133
259,"B_p100","gridge",47.0864936539231,7.55773203016288,0.00389812669294907,5.72024797497561,0,0.226624473534396,0.0711911513751913,0,0.999498228274651,0.998992581462093,0.193065362295788,2.612763382035
260,"B_p100","gridge",45.3229612044769,3.69500056700653,1.71203622942604,6.00006019934809,0,0.766030443507741,0.572028202953284,0,0.336998876073807,0.191851936257647,0.207400338904871,2.34776379718439
261,"B_p100","gridge",37.9249878058443,4.26349776879541,0.663982512003794,5.89527342881548,1.58181988618722e-08,0.671448237255321,0.447844784121385,0,0.661987883884232,0.541487163615486,0.198275277352831,2.46059329876325
262,"B_p100","gridge",47.9101293847147,4.9751948787547,0.243622111205612,6.00611999658569,0,0.577145931492612,0.343546781175075,0,0.868741055984751,0.802669580792329,0.204569477307403,2.30834516641125
263,"B_p100","gridge",44.1986952690109,1.01707012222112,0.297069678900066,5.86438839584052,0,0.994841953396351,0.985705914686557,0,0.838949405821839,0.767299103067754,0.206075800549468,2.50206912681196
264,"B_p100","gridge",51.2775156323656,2.60550339541379,1.24326956756024,6.04126746488038,0,0.903791379839756,0.7828939298128,0,0.470260519521202,0.315275105968478,0.213610318971975,2.26978251713413
265,"B_p100","gridge",43.0421748874594,3.57541142755015,1.20074594433842,6.02064345152174,0,0.784226042902001,0.608783968674727,0,0.449363018239451,0.305693347907699,0.205726401057757,2.27934712891097
266,"B_p100","gridge",39.1723756851377,4.00883058465778,0.65528190447028,5.96467532780583,6.17774686961781e-09,0.717048264917458,0.516961599216188,0,0.672753076825143,0.570785753021304,0.202114522905339,2.52293122714577
267,"B_p100","gridge",53.1070808945375,8.12259686373932,0.533194142783044,6.03396104597759,0,0.214623031332905,0.0632285951878624,0,0.714003974338795,0.592152386469036,0.232309172113352,2.30265240715415
268,"B_p100","gridge",57.7516351551862,3.83082778964811,0.438691195673827,5.98930336540882,0,0.745149532097451,0.513741367140266,0,0.759567308202603,0.657473785289376,0.210700797755118,2.71177283810816
269,"B_p100","gridge",48.8515137531802,3.56945670118822,0.00197838217122097,6.0566273531514,0,0.788405152205506,0.59882662338937,0,0.999822810133746,0.999670520465378,0.204201015646489,2.28217849198732
270,"B_p100","gridge",38.1552391790472,3.72722302286324,1.03198042503204,6.05519586079717,3.53356767179847e-08,0.766270378152931,0.581330803750811,3.56876639351356e-09,0.524098895694623,0.391360572713477,0.180541751066473,2.55937965894799
271,"B_p100","gridge",44.3222267627832,4.57983502858374,1.14853596206193,6.04948514393328,0,0.641097202516726,0.394275129006802,0,0.496901754992987,0.334206482039753,0.220186673896523,2.64892978039471
272,"B_p100","gridge",42.061077802345,11.0312796006309,2.3564126999833,5.97868419715931,2.84114053950013e-08,0.0640437462392767,0.0118587080447567,0,0.229031682848963,0.114616268113536,0.206438053527349,2.36010154910938
273,"B_p100","gridge",52.7052087573639,7.65708052101712,0.889643642629481,6.06790668937093,0,0.257737819821632,0.0851833145829065,0,0.570476694673903,0.42704575803989,0.208199641707509,2.18234149458124
274,"B_p100","gridge",44.0341878720685,3.22740892964971,0.981268909927151,5.97375807743195,1.07343461897003e-08,0.827380748313262,0.660129710104499,0,0.523179042996431,0.390639582746215,0.197713442326351,2.2515825001969
275,"B_p100","gridge",41.6721701500837,4.06735545849608,1.74436411565012,5.98759743055906,0,0.710438993679947,0.483958632808617,0,0.30351257003789,0.158067548997816,0.191357206616774,2.83439954611964
276,"B_p100","gridge",44.1015453849903,3.45431168692025,0.120351795169425,5.98325526750494,1.5414616305609e-08,0.797819301261242,0.610958060878195,0,0.941223569677142,0.909992874144962,0.187572895349685,2.60228253052431
277,"B_p100","gridge",35.0665526559459,0.430443060242635,0.1626689660932,5.93347120654524,1.56831070907693e-07,0.999800501733943,0.99926621269497,3.06096925584143e-10,0.912865648887386,0.859489278605054,0.200662563975803,2.46393435212862
278,"B_p100","gridge",36.3770217961723,4.62626139463725,1.83142008449149,6.09312582754521,1.16041360520569e-07,0.639241737007016,0.410180960956532,0,0.310583268256852,0.179812745915274,0.179775508010339,2.41074138992537
279,"B_p100","gridge",45.7270614392004,6.18928938729477,2.50423739800557,5.97443028907135,0,0.405330097916007,0.200507316292202,0,0.18868559039406,0.0844485813475715,0.200018545834521,2.25426516674562
280,"B_p100","gridge",37.2696620265917,9.80914227096157,5.38130892313095,5.97211175969198,4.72031123077699e-08,0.106824086416372,0.0257027480886001,3.62823260324774e-09,0.0297037435355759,0.00576695772154856,0.185624752099425,2.45095214302828
281,"B_p100","gridge",42.7276235005922,3.15297183748913,0.543179042822764,5.98506467699177,4.4043114155734e-08,0.837900534430708,0.674856872115316,0,0.711490240903571,0.60845065191909,0.178417136924747,2.53907310405205
282,"B_p100","gridge",48.7502373789411,5.0618742237317,0.358623119961797,6.03412755843959,0,0.567715226384719,0.324188143642903,0,0.796489503458421,0.712867833151704,0.210074434126951,2.43119856177694
283,"B_p100","gridge",48.6643512469686,4.05250172657123,0.697295000190116,6.06698465380784,0,0.72028576360049,0.521879040707628,0,0.656731861947138,0.528990025774069,0.213915198608588,2.46052652622272
284,"B_p100","gridge",42.844657457528,4.39247693599138,1.09583349178068,5.88618823579307,0,0.651047519724559,0.407964992498723,0,0.482697805803847,0.328891833586542,0.191033293140857,2.51534323573669
285,"B_p100","gridge",43.0222708344858,8.0158376906925,0.238822953997704,6.0598812482922,0,0.225863221955849,0.0798021497836185,0,0.87042047940144,0.810756214863257,0.188859180652055,2.31324395692517
286,"B_p100","gridge",56.8606320345446,15.5753220272575,0.670170828450094,6.0941192059791,0,0.00887290549859698,0.000883892188349278,0,0.649391054237586,0.541766426534662,0.183197662111474,2.13756202172961
287,"B_p100","gridge",49.1329134949483,12.4296891223243,0.126289898050806,6.11206814831744,0,0.0386648201237414,0.00494657222439043,0,0.941053490834041,0.90394059241835,0.210797721477995,2.3465502512286
288,"B_p100","gridge",38.5657183321791,6.91272688786967,3.81412131261004,5.98704718634311,1.69672540462074e-08,0.322004894599763,0.136942377505616,0,0.0844746335365119,0.0302692508653788,0.206695872518238,2.19312318458281
289,"B_p100","gridge",46.3050863314331,1.91425784621961,1.04302391339895,6.03921168431611,0,0.961054050306476,0.900154400546819,0,0.504467144264355,0.348679363615312,0.185536205721794,2.56940682624635
