"rep","cell","grouping","S_dec","S_edge","df_dec","df_edge","p_dec","p_edge","pnc_dec","pnc_edge","delta2_norm2","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
146,"B_p160_lam416","fitted",3.01381042415922,2.04579210699972,3.39642642166247,0.807810727880001,0.524563350121895,0.07756824924685,0.529793442934066,0.0786303887014006,0.0222100863709856,0.75058686264554,-0.461755454360967,-0.497019885009797,-0.801210711055235,0.0887932527731857,0.621695745660444,-0.278825256579773,0.681594572420761,0.407782380814086,-0.495230572232066
146,"B_p160_lam416","heavyx5",2.38952330181408,0.685763946992718,3.37341713149343,0.812298860721817,0.683230086233911,0.430840844263013,0.689595031272912,0.436884250785384,0.0313634701128385,0.10987174576152,-0.0161932807739853,-0.711835522735546,-0.191980714693244,-0.0978188225278034,0.992745102718943,-0.101327512662367,-0.230667398614939,0.717590302625487,-0.510000936931906
146,"B_p160_lam416","heavyx20",3.23661405461021,0.60296823366699,3.41688340685127,0.816981088717562,0.474262971964824,0.47989738020836,0.483323597599338,0.486677706652692,0.0402945066719969,0.10987174576152,0.089772302781586,-0.976564628104425,-0.171999438370632,-0.151657193346132,1.34544877866762,-0.249291940143788,-0.0396694690311171,0.412460128888818,-0.407608993587739
146,"B_p160_lam416","heavyx100",5.15779615138378,0.684399316918768,3.3910089365905,0.811758424450501,0.144295670095174,0.431311515297118,0.153287547570661,0.438378639908579,0.0611330766104095,0.10987174576152,0.089772302781586,-1.39284610693244,0.386044451591158,-0.298939555382133,1.55629004033289,-0.460801870820525,0.396853189786384,-0.0351458512328424,-0.407608993587739
146,"B_p160_lam416","pc1",1.65211375560182,1.11731779371599,3.61266184990428,0.952852674554749,0.886516558447454,0.308403206827354,0.888593211072223,0.313477654483594,0.020843900593538,0.107345974126059,-0.426654372878087,-0.289777965449718,0.349541610108124,-0.212859092531516,0.190069742865168,0.169607985997975,0.734160125629826,0.104950944669571,-0.769543940847627
146,"B_p160_lam416","oracleX",1.03182147368271,0.342981329017776,3.40909302102453,0.795004745773454,0.965301182542878,0.655428912013786,0.966239715270012,0.661984404918917,0.0171104822705662,-0.045889535177182,-0.423868742135687,0.0566534204216216,0.415996527102282,-0.118189443244119,-0.3455216947049,0.43682848170581,0.204532568327071,0.266043945261784,-0.486828647806587
147,"B_p160_lam416","fitted",2.24877728326903,1.21794031836566,3.93232586124856,0.983576356165308,0.801579171810916,0.288888408855435,0.803923240001033,0.291121029007686,0.0163593367839592,0.106610790567861,-0.652280778793342,0.0783232839255712,0.188612973409191,-0.607563215775388,0.23572984617871,0.203736717242124,0.887016002424134,0.198593784686733,-0.691219694676788
147,"B_p160_lam416","heavyx5",2.01194708741418,0.463041654573072,3.87127082472072,1.00678205392673,0.842414163727696,0.63657814934922,0.844766834212632,0.640001252538661,0.0186382909943105,-0.35424559835953,-0.266642014857599,0.478090262181129,-0.175862287954387,0.00255392601465043,-0.576328700064877,0.331180005945961,0.951357632554451,0.00822876863183275,-0.457023838771076
147,"B_p160_lam416","heavyx20",1.21105809945539,0.336740177378026,3.9104489596532,1.00686830923071,0.962993143809897,0.723089839084629,0.963736553517021,0.727585051106479,0.015489204608284,-0.400025458003908,-0.0959529185329517,0.138434950090377,0.205191571482919,0.149831888958667,-0.565201968892759,0.358791378791424,0.621820547483189,-0.157247802347348,-0.313912686451856
147,"B_p160_lam416","heavyx100",1.65702381224098,0.371523838432062,3.92419699306087,1.0108472392544,0.908277941204416,0.699067033503496,0.910060172057706,0.704183329595888,0.0203526554171096,-0.400025458003908,-0.0784379591501163,0.238200946456782,0.0472561959551669,0.292357898393316,-0.584287194582553,0.340340908302797,0.794007804415689,-0.400239833407572,-0.313912686451856
