"rep","cell","S_dec","tr0","tr2","tr5","v2","meanv","a_hat","s_hat","rho_hat","c_hat","sd_eta0","sd_eh","sd_et","est_signal_sd","norm_bh","norm_bt","df_M","p0","p2","p5","pcalm"
53,"B_k25_ar07",3.38076481504747,5.84651283667866,4.09745675191542,3.81378408862391,3.38076481504747,"-0.02 0.72 -1.16 -0.16 -0.78 0.58 0.46 0.3 0.37 -0.32",0.349274933998527,0.384152366886054,0.67272078394925,5.63013665157033,2.18630661932008,0.5378969497415,1.62731371800445,1.96646560737992,0.265501147240501,2.84229832403411,15.1786715414922,0.797697359203185,0.579791830674344,0.526456402995681,0.570181423755846
54,"B_k25_ar07",6.14145449569274,5.81927368012998,3.96284506664217,3.18317113027947,6.14145449569274,"0.7 -0.51 -0.13 -1.06 -0.24 -0.12 -0.25 0.78 1.7 -0.8",0.51486835078833,0.365515258501385,0.815413836921449,5.23389520289557,2.2849371200979,0.656635514586163,1.81663833641392,2.69476699131379,0.321506078823323,2.54316862798199,14.8667951453004,0.390835629422039,0.135646134043159,0.0536964525409811,0.0707911742550572
55,"B_k25_ar07",2.05236533803883,6.08679925246278,4.2278235554051,3.5064657288153,2.05236533803883,"0.48 0.25 -0.58 -0.05 0.13 -0.58 -0.68 0.66 0.4 0.07",0.438694504801355,0.400955800107217,0.73814302662344,5.58240090217385,2.29016129247819,0.616290683166001,1.73443696781597,2.4489685993818,0.296363820577854,2.68146607344746,15.0091229810408,0.952668677123963,0.867534462033916,0.789617363514403,0.816482794070558
56,"B_k25_ar07",3.86109806448495,5.91648682991248,4.25880619644938,4.08147686546265,3.86109806448495,"-0.12 0.09 -0.77 -0.11 -0.3 1.6 0.17 0.27 -0.35 -0.59",0.335820856015908,0.365960645479365,0.676115027202375,5.24927454098656,2.25475239375361,0.514933321243958,1.56951423001332,1.76281586981662,0.259001518078685,2.69212537731842,15.1643969533205,0.733980548346818,0.50849293181455,0.475930077199742,0.520838344140568
57,"B_k25_ar07",6.13783396954409,5.96210482848671,4.17477232187592,3.83355290082652,6.13783396954409,"0.28 0.65 -0.45 -1.84 -0.61 0.86 0.88 0.23 0.28 -0.22",0.482745027570025,0.379662941106886,0.786030897501295,4.31137080228281,2.42091751033615,0.635594328003375,1.71321417629809,2.08129281681261,0.296258477242787,2.54973414999509,15.037747499377,0.410192571346534,0.162246208957134,0.119237410199384,0.14795579746255
58,"B_k25_ar07",2.31520663038955,6.04406384230067,4.35941873332642,3.99665575130699,2.31520663038955,"0.18 0.02 -0.71 0.78 -0.19 -0.84 0.24 0.39 0.39 -0.26",0.466941488415742,0.393787479530354,0.76444832252051,4.27291424541258,2.16669153438262,0.630140367726355,1.68312830373681,1.99520093762578,0.284072111184154,2.69143984411274,14.6991791104743,0.931124970248648,0.83331479609229,0.794723234378961,0.821110959724337
59,"B_k25_ar07",3.57378648338115,6.11346346279889,4.2975001722095,3.87433761429768,3.57378648338115,"-0.14 -0.94 0.68 -0.44 0.7 -0.38 0.23 0.62 0.42 -0.87",0.407691275405701,0.380233894677929,0.731303927639785,5.10831160452192,2.25033140785933,0.577914670722669,1.66226441484399,2.08261407321729,0.281717520164051,2.67816294313989,15.0711757464654,0.792269813347857,0.573051511244341,0.495198150808107,0.53965981919591
60,"B_k25_ar07",3.91026837011429,6.12748598375816,4.51286138320027,4.29154053233384,3.91026837011429,"0.98 0.05 -0.21 -0.52 -0.52 -0.97 -0.11 0.97 -0.16 0.66",0.327050288221717,0.36216076157379,0.670215541402883,5.25116994778402,2.23710509063454,0.506222463580563,1.55977739088278,1.71739664492398,0.257652251865735,2.84032995353472,15.2365228982196,0.746932012693242,0.543120393387515,0.505392344766168,0.549700965399324
61,"B_k25_ar07",7.09404307054395,6.0280798852447,4.37663666062681,4.16926686876893,7.09404307054395,"0.19 0.42 -1.3 -0.03 0.82 -0.67 -0.95 1.28 0.98 -0.73",0.401340748015814,0.367222084110636,0.737770625848507,4.46766530610993,2.32625491848569,0.564095631024958,1.60923451215074,1.79305613583846,0.276456780902336,2.72000496723257,15.160860332086,0.307912041128279,0.113678548657372,0.0929976955256614,0.117844299198264
62,"B_k25_ar07",5.15981258631202,5.97461156815811,4.22108245401108,3.82986420787493,5.15981258631202,"0.28 -0.58 -1.12 1.13 -0.82 0.43 1.07 0.08 -0.09 -0.44",0.368017142810104,0.379013521752736,0.696622617835647,5.54548330357039,2.22688375965956,0.548048268848728,1.64712388553242,2.04083292088111,0.273180161969488,2.68617953291304,15.1007700229128,0.546216671337023,0.280295529752072,0.214379634962327,0.253021145227734
