"rep","cell","grouping","prev","deg","hl","edge","S_p","tr_p","S_d","tr_d","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","pb1","pb2","pb3","pb4","pb5","pb6","pb7","pb8","pb9","pb10"
452,"k25_prev50","heavyx5",0.52,3,0.55461803720001,0.267372902726477,1.48341120794528,0.876211856893955,3.53961310955139,3.9172458102749,0.2510040728247,-0.639762853311523,0.0519551667928284,-0.759706698993294,-0.140624404335294,0.729206720123926,1.2578545503506,-0.0915253860291503,-0.167587029775085,-0.563277823285156,0.275962714209591,0.355196055960459,0.407679105682066,0.457512452951439,0.507386206841333,0.544464364602394,0.591574705527854,0.629523800891534,0.674927753473095,0.755772839860235
452,"k25_prev50","heavyx20",0.52,3,0.438276382560777,0.250939058206245,1.54944199556064,0.873646034661754,4.09917332548657,3.89680074779798,0.2510040728247,-0.639762853311523,0.096248725378026,-0.742819021391776,-0.448903692710771,1.12142610224271,1.04543744460016,-0.292595944726361,0.173121845611949,-0.631027588751242,0.275962714209591,0.355196055960459,0.408875984371688,0.459069899140838,0.506209758517257,0.544894512618673,0.590600379054658,0.630364247213624,0.674893943783537,0.753932505129676
452,"k25_prev50","pc1",0.52,3,0.702496868988397,0.44804638778866,1.12981691337387,1.03799523267817,2.83232179029795,3.8803172842914,-0.0744075971474578,-0.0921103623037,0.509262951945816,-0.552130723591027,0.222156581076986,0.447157363518412,-0.3017632659936,1.06255762692033,-0.455851256356531,-0.759546239123853,0.463275663413237,0.518746844967555,0.49514434005225,0.4788550651509,0.525501720181932,0.546858635434074,0.515123754860067,0.527772016580834,0.554517925253674,0.574204034105479
453,"k25_prev50","fitted",0.49,2,0.499733202595567,0.367342294533164,0.330022587326133,0.391560817390488,3.32854835651922,3.42425750488945,-0.534588912444337,0.0451103707703426,0.606768000596068,0.570679992355541,-1.21536072474841,0.569216746912989,0.265138650483236,-0.343702670754492,0.405990830233293,-0.4387676664397,0.28946673229435,0.355353878369793,0.400678907602769,0.444769321933855,0.47194282872571,0.499671671456441,0.530717122822602,0.568025815181722,0.625103537669497,0.714270183943262
453,"k25_prev50","heavyx5",0.49,2,0.472566451718444,0.212759655231583,0.619285853973136,0.392682639192143,3.40536225934735,3.38131743651526,-0.721617142426974,0.023220666744808,0.602842307283052,0.464390232831145,-0.647720207758367,1.00794772367148,-0.57227316133595,-0.193906587591276,0.472926862644012,-0.529866388289896,0.292021582290718,0.353194563764362,0.401070524083578,0.446681691024847,0.473266972261774,0.49906259262172,0.529038362816951,0.567387285335223,0.624434490504606,0.713841935296221
453,"k25_prev50","heavyx20",0.49,2,0.555128682042975,0.165635712509272,0.767783460179422,0.394932866093148,3.06024590248289,3.38489373378621,-0.882459015251786,-0.00209198160570212,0.777460828575372,0.711433793399251,-0.489494994493559,0.305633614254761,-0.00700925725745027,-0.521808391080886,0.533681045392631,-0.529866388289896,0.293030485480619,0.353837739181643,0.399418445476396,0.448718489726213,0.474058608178853,0.496774603141419,0.530440199049691,0.566271105607218,0.623608388861727,0.713841935296221
453,"k25_prev50","pc1",0.49,2,0.289245287323092,0.090267278898913,1.32307448032782,0.47911477177288,4.40796292864865,3.44486177682587,-0.418135737108647,-0.973305362465172,0.459551668483471,0.592080424172394,1.02089354276181,0.805675709845838,-0.0459598688240702,-0.0787609406843298,-0.878144239359667,-0.503254672283296,0.421199328086644,0.456189026834753,0.481727918049773,0.480184291005549,0.4734971729724,0.500169258795902,0.486047973944612,0.507283959866068,0.531714729586063,0.561986340858237
454,"k25_prev50","fitted",0.515,2,0.0113097366603602,0.596597749716749,0.142891512533066,0.460690163062331,9.91456507173326,3.76799314275452,0.62859247493715,0.0933145043480323,-1.72198109893528,-0.561323439817634,0.469148973978905,-0.793684253346143,1.77182213646147,-0.363087668273105,1.24860172810889,-0.741753327560051,0.307047212272129,0.380093312813415,0.430195786445815,0.466896339276794,0.502648677574299,0.532051880550197,0.570121179747654,0.603944499894999,0.648054335885446,0.708946775539252
454,"k25_prev50","heavyx5",0.515,2,0.14687984514224,0.612657863443824,0.128926694424505,0.447068711366576,6.05253517867105,3.77383761941182,0.687437389778318,0.0952821920836167,-1.30995382374813,-0.453263057509796,-0.437259368078518,-0.12512468612486,1.1906435548482,0.0242971194000192,1.17052227027659,-0.808865344816847,0.308411638412203,0.379646856475919,0.430335266412978,0.467963209167886,0.504839320178167,0.530098175496341,0.568695489929866,0.603461545819458,0.649016739380276,0.707531758726905
454,"k25_prev50","heavyx20",0.515,2,0.261912979954117,0.652871550893705,0.104623414371598,0.444446647611696,5.0699258533307,3.81157550253382,0.597285419057153,0.0795025957258479,-1.34349053786218,-0.0975203063410321,-0.535273611050184,-0.0609502084652383,0.556758010845448,0.495723568016121,1.16555442628988,-0.82940162619891,0.309119380028132,0.379853423364493,0.430372495935471,0.469704986705512,0.502974867004424,0.530999953450837,0.568375157138301,0.603233445650857,0.648343442775126,0.707022847946847
