"rep","cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
98,"B_k40",0.324104979929741,0.308249085707965,0.410681891728985,0.422712852146181,0.619505842104228,0.589198319201289
99,"B_k40",0.394048791355156,0.382059237062883,0.401989522057891,0.413401457650694,0.700018342837565,0.678719183669549
100,"B_k40",0.435841880220932,0.41178450359079,0.413708124285048,0.437659775689355,0.725283277776999,0.685249463293222
101,"B_k40",0.441177301158064,0.414055773853944,0.4310731097386,0.457186234629863,0.715249952569317,0.671279714148258
102,"B_k40",0.358887509829747,0.330743556532509,0.397077176020549,0.420807828159693,0.670530241196533,0.617947269441475
103,"B_k40",0.36923582065343,0.340891401872025,0.375406338916405,0.401320399035429,0.701223226871032,0.647393766970562
104,"B_k40",0.376161857091313,0.365596556650766,0.405423349953155,0.414975894700797,0.680157154830316,0.661053504228588
105,"B_k40",0.441059538166424,0.402835440439935,0.399495993823541,0.438011613104266,0.741166040311876,0.676933435176045
106,"B_k40",0.509490736775759,0.4781115044623,0.374603284198834,0.413905569778487,0.805667810111582,0.756047207505624
107,"B_k40",0.372726003213411,0.340753446405685,0.390127254552441,0.418343204771772,0.690797450543694,0.631540622365022
108,"B_k40",0.436605003068122,0.421938854694885,0.411249980819665,0.426284034801984,0.727927320721687,0.70347526447951
109,"B_k40",0.410998021788209,0.376896440161942,0.414518943979423,0.445751502773566,0.70408448764211,0.645664754810674
110,"B_k40",0.416907652134134,0.421352267215811,0.414674717871208,0.41015774887433,0.709002922209646,0.716561538763875
111,"B_k40",0.352616348092909,0.339461480313891,0.39410010207549,0.405486230076181,0.666795350229593,0.641919575991175
112,"B_k40",0.405355607417739,0.371001947187393,0.369405248151382,0.403894740012731,0.739122577052868,0.676482353466457
113,"B_k40",0.458652668059803,0.429268275759422,0.401235884556197,0.432528903543453,0.752645978214508,0.704426385857802
114,"B_k40",0.354261673359099,0.337513854601164,0.414054810303442,0.4278166863259,0.650111471076669,0.61937727116504
115,"B_k40",0.415189058248767,0.374665343729526,0.419006607006211,0.455603304435328,0.70386346183119,0.635164247771745
116,"B_k40",0.378869127459497,0.357540085417043,0.420114020834189,0.438409276319929,0.669712972007842,0.632010411674896
117,"B_k40",0.277052333678105,0.269295925147963,0.37302262341629,0.378660240684914,0.596254398765252,0.579561550005168
118,"B_k40",0.425719842989536,0.392106483462942,0.390225452379062,0.423987964482253,0.737169438634652,0.678965101249671
119,"B_k40",0.527962723214283,0.526703996172134,0.412074022293886,0.413681686045695,0.788311760225358,0.786432329563665
120,"B_k40",0.404081620060286,0.357677632558848,0.397447975777066,0.439674379839137,0.712934544255653,0.631062456938128
121,"B_k40",0.398393165700147,0.383209112494676,0.42902557716935,0.442640753256093,0.680462355505578,0.654527732374785
122,"B_k40",0.424220008989035,0.424939384470492,0.430286915274131,0.429576494944291,0.7020687050193,0.703259245309686
123,"B_k40",0.294227140659661,0.287363179944367,0.364544159340506,0.369978995650155,0.628062713318022,0.613410775426465
124,"B_k40",0.414341254809328,0.375133276166544,0.371939477853073,0.411451911813689,0.744157677187398,0.673740073399782
125,"B_k40",0.495080818186305,0.458275474840349,0.389583304420456,0.432277407204027,0.785862202857044,0.727439563287359
126,"B_k40",0.361736558984546,0.340628737192334,0.380906048012992,0.399893509471725,0.688625189131037,0.648442969742955
127,"B_k40",0.382545035611042,0.367738479604502,0.418779534631324,0.431839569186117,0.674443484178125,0.648338883955623
128,"B_k40",0.434887605770137,0.390124971775658,0.385995972345828,0.431187461223914,0.747896538354453,0.670916144873677
129,"B_k40",0.476200756402128,0.435441148701219,0.407603359293515,0.450886532204145,0.759704735699274,0.694679078811245
130,"B_k40",0.324606899109574,0.287147805724862,0.390733189180092,0.4190324590575,0.639017118280574,0.565275611326276
131,"B_k40",0.394842642693695,0.35429621037873,0.390671234941494,0.427783732289254,0.710851791276123,0.637854346409691
132,"B_k40",0.456811569414299,0.44324958952184,0.414651345086651,0.429118106494755,0.740449669424979,0.718466943503667
133,"B_k40",0.484445523211355,0.426761179069238,0.427597327254509,0.48518227015644,0.749726213822002,0.660454122620105
134,"B_k40",0.411035035166472,0.380792737408391,0.367303348129006,0.398570496672928,0.745660206800191,0.69079754043096
135,"B_k40",0.476599881202297,0.453535860195077,0.415136767681225,0.440217226105443,0.754055231178757,0.717564358271617
136,"B_k40",0.453567508116026,0.428174184841168,0.382512897482963,0.410738929972549,0.764444878900054,0.721646848643545
137,"B_k40",0.392081778885019,0.367886199794768,0.395896282695102,0.418475485525742,0.703675520243533,0.66025132248473
138,"B_k40",0.343559863481832,0.308393191834015,0.399708440642865,0.427427018971934,0.651832680978359,0.585111307797658
139,"B_k40",0.417494357062639,0.402831140532738,0.383792388832349,0.399155618928108,0.736196669616937,0.710340005945754
140,"B_k40",0.454535549491206,0.425178989652542,0.386762409045978,0.418820431163958,0.761602533163948,0.712413794542443
141,"B_k40",0.485030509575412,0.478893956361487,0.405217999462624,0.412452180098392,0.767422383835225,0.757713039365154
142,"B_k40",0.383004660244558,0.3607948842912,0.400710217705151,0.420818606779286,0.690955634948904,0.650888316091408
143,"B_k40",0.525585040478819,0.508547178060459,0.428779507755891,0.448855509861748,0.774855803427005,0.749737343889363
144,"B_k40",0.35818866754178,0.336218737918084,0.411591876696495,0.429725441172232,0.656473685492989,0.616208088121998
145,"B_k40",0.393476029434345,0.384973142582924,0.410146113936179,0.418137417610759,0.692289850641695,0.677329695948522
146,"B_k40",0.415377962917017,0.404709376942653,0.407877202354282,0.41846503377479,0.713519687358866,0.695193616145238
147,"B_k40",0.481474340441872,0.461041083619596,0.381338804637538,0.405805302628231,0.783909823404376,0.750641527668354
148,"B_k40",0.444990886717928,0.4205619678784,0.405853919680046,0.431117065952987,0.738850903443811,0.698289783444556
149,"B_k40",0.442730004956188,0.426773460606882,0.408000649580231,0.424663161420934,0.735360493270624,0.70885717930445
150,"B_k40",0.356741050698245,0.344114225183586,0.40902293164878,0.419701484264889,0.657299497165519,0.634034425637201
151,"B_k40",0.380497715773616,0.357849401618654,0.40471721567746,0.424874501630571,0.68497072626765,0.644199306223982
152,"B_k40",0.327563041821173,0.303257807215026,0.376876156451606,0.396696213785826,0.656001532866687,0.607326105169866
153,"B_k40",0.440558429810645,0.41268387506304,0.429010851249744,0.455888209795126,0.716433745606036,0.671104294814434
154,"B_k40",0.332186700643594,0.302585464061275,0.394985925112124,0.418095589620341,0.64364470554833,0.586289371433568
