"rep","cell","dep","rel","calm_hl","calm_edge","deg","rho_hat","grp"
295,"S_k25_sparse5","quadratic",1,0.583606275738688,0.200722792125299,2,0.506895855310627,0.38917173340141
296,"S_k25_sparse5","quadratic",1,0.3042529455738,0.0181895387062598,2,0.572759041307397,0.218142224872052
297,"S_k25_sparse5","quadratic",1,0.774269814143545,0.567812309811202,2,0.530737028795932,0.143241092523848
298,"S_k25_sparse5","quadratic",1,0.933614635284955,0.790021874705343,2,0.299187527457596,0.380148646060922
299,"S_k25_sparse5","quadratic",1,0.839802080900329,0.084962633234804,2,0.500574719705283,1
300,"S_k25_sparse5","quadratic",1,0.78184521039502,0.154685008066059,2,0.646956067702214,0.646904957968468
1,"S_k25_sparse5","offindex",1.5,0.835481500434691,0.727871745436303,2,0.135253802333158,0.155973982369031
2,"S_k25_sparse5","offindex",1.5,0.592589378251163,0.0219871177701936,2,0.104285615411798,0.0042438864320673
3,"S_k25_sparse5","offindex",1.5,0.271577217205361,0.640788641689118,2,0.481826669915927,0.000461756940820068
4,"S_k25_sparse5","offindex",1.5,0.63895853639434,0.952531389573277,2,0.313110740128608,0.00054603921520191
5,"S_k25_sparse5","offindex",1.5,0.0346881065956708,0.12440968343623,2,0.20743224818583,0.0570827456431058
6,"S_k25_sparse5","offindex",1.5,0.257551815025949,0.790093563739645,2,0.308142621131951,3.21602249544473e-05
7,"S_k25_sparse5","offindex",1.5,0.557626266243273,0.637465112814108,2,0.165954373198403,0.00160040589732091
8,"S_k25_sparse5","offindex",1.5,0.920311422187275,0.975754907213928,2,0.225727009344417,0.00122608979845373
9,"S_k25_sparse5","offindex",1.5,0.46458754613751,0.329968940364005,2,0.454092079703085,0.094723850681333
10,"S_k25_sparse5","offindex",1.5,0.531024804161875,0.590799450867898,2,0.0283117675598855,0.00668298598884531
11,"S_k25_sparse5","offindex",1.5,0.425241143056434,0.75600211158654,2,0.460097701591131,0.00501200624661768
12,"S_k25_sparse5","offindex",1.5,0.476191525719419,0.162310973435928,2,0.0998528736050164,0.000345965101969936
13,"S_k25_sparse5","offindex",1.5,0.832446582201345,0.148994172893868,2,0.323452930243224,4.64288060650908e-05
14,"S_k25_sparse5","offindex",1.5,0.78707997016285,0.949931917642137,2,0.181851956546047,0.0747059814605506
15,"S_k25_sparse5","offindex",1.5,0.921477842292416,0.445632473652914,2,0.0995032987088976,0.180456942021646
16,"S_k25_sparse5","offindex",1.5,0.463647563771075,0.28091338968442,2,0.270657370022892,0.135182219665076
17,"S_k25_sparse5","offindex",1.5,0.616237488338299,0.289998490061622,2,0.24152078002267,1.45706199212725e-05
18,"S_k25_sparse5","offindex",1.5,0.427255531065509,0.149393983477215,2,0.374939216919679,0.00688723057783114
19,"S_k25_sparse5","offindex",1.5,0.197836136437282,0.20489301490147,2,0.296034398885338,0.00806356176777556
20,"S_k25_sparse5","offindex",1.5,0.63847963582355,0.802893954003524,2,0.362640019629336,0.0505345387629326
21,"S_k25_sparse5","offindex",1.5,0.123400582973668,0.911433547541243,2,0.286187868903453,0.11371231601511
22,"S_k25_sparse5","offindex",1.5,0.556587951354095,0.547381506126939,2,0.212919419455136,0.00468074476185421
23,"S_k25_sparse5","offindex",1.5,0.881768441283395,0.705018797594116,2,0.254476509812642,0.0768722298129139
24,"S_k25_sparse5","offindex",1.5,0.852370811507924,0.271841267804445,2,0.317528420789473,0.0390860743248012
25,"S_k25_sparse5","offindex",1.5,0.606656614544581,0.817892337715887,2,0.214434462850949,0.0135816255898835
26,"S_k25_sparse5","offindex",1.5,0.141165071160829,0.306263579939334,2,0.287181883093248,5.47724228394664e-06
27,"S_k25_sparse5","offindex",1.5,0.926408505486316,0.278246441450819,2,0.337759728521045,0.00069191647270106
28,"S_k25_sparse5","offindex",1.5,0.813960700227772,0.357858487348586,2,0.183138824042066,0.000350022133818628
29,"S_k25_sparse5","offindex",1.5,0.816066745094231,0.427349377452316,2,0.459662558417446,0.00326647187501661
30,"S_k25_sparse5","offindex",1.5,0.267454854159999,0.589317011308345,2,0.467300892978074,0.00944394497692258
31,"S_k25_sparse5","offindex",1.5,0.0942227779484982,0.227445917927125,2,0.515722585954432,4.94808375117728e-06
32,"S_k25_sparse5","offindex",1.5,0.857048028824044,0.97845707161046,2,0.189990941434285,0.0131340364739323
33,"S_k25_sparse5","offindex",1.5,0.164012103304431,0.950250846538485,2,0.234332851075393,1.47403889640962e-05
34,"S_k25_sparse5","offindex",1.5,0.321990986494468,0.875941810186358,2,0.404748611697046,0.0794752556822276
35,"S_k25_sparse5","offindex",1.5,0.303622739229488,0.94877837043902,2,0.213813783769909,0.00145659520521124
36,"S_k25_sparse5","offindex",1.5,0.789078864670639,0.722018357129429,2,0.317011427396521,0.00646193558561414
37,"S_k25_sparse5","offindex",1.5,0.906487834004358,0.636248485506251,2,0.202237443170703,0.0015809930852102
38,"S_k25_sparse5","offindex",1.5,0.469512697433054,0.759515869161293,2,0.292128748788261,0.00639685558718739
39,"S_k25_sparse5","offindex",1.5,0.796155999647202,0.400010339380802,2,0.421310683863432,0.000311344611167108
40,"S_k25_sparse5","offindex",1.5,0.210033092560112,0.891931845557453,2,0.335050579287764,0.0407655454703173
41,"S_k25_sparse5","offindex",1.5,0.174846966151519,0.165945935088124,2,0.314751610901887,0.0638145875245084
42,"S_k25_sparse5","offindex",1.5,0.374271774175398,0.497196949300666,2,0.457324686698983,0.0373694733767387
43,"S_k25_sparse5","offindex",1.5,0.679906398578682,0.864709254158686,2,0.387838321953808,0.000836327888782851
44,"S_k25_sparse5","offindex",1.5,0.502737487519308,0.464404610443355,2,0.212857679132861,0.175462728627407
45,"S_k25_sparse5","offindex",1.5,0.963613085939989,0.822881774038617,2,0.213144247168883,0.029237729803026
46,"S_k25_sparse5","offindex",1.5,0.300001575906091,0.376397150913746,2,0.332430831339204,0.000304110346865061
47,"S_k25_sparse5","offindex",1.5,0.998080318371097,0.621975818740397,2,0.0814169498767006,0.00178359018209262
48,"S_k25_sparse5","offindex",1.5,0.00856926655929313,0.420450682636363,2,0.268880980591963,0.000137275253693447
49,"S_k25_sparse5","offindex",1.5,0.953906978880286,0.601230585066261,2,0.172325443159134,0.00187059057429195
50,"S_k25_sparse5","offindex",1.5,0.921010577820108,0.461828722283266,2,0.380384363920492,2.50141718827201e-06
