"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
105,"A_p5","null",0,3,0.949317776313262,0.831511216221253,0.654899319908451,0.654899319908451,0.835,0.63
105,"A_p5","offindex",0.4,3,0.950357102118464,0.922412847248776,0.801637035485063,0.801637035485063,0.925,0.795
105,"A_p5","offindex",0.7,3,0.940750522959497,0.99623452360429,0.786942192408552,0.786942192408552,0.995,0.7175
105,"B_p100","index",0.4,2,0.640150563138675,0.955561976317564,0.884536140213985,0.887324201167762,0.9475,0.8425
105,"B_p100","index",0.7,2,0.605891901531876,0.474996683195422,0.48952504740957,0.349814068433392,0.4225,0.2525
105,"B_p100","null",0,2,0.668674983279003,0.438255637034068,0.546494655570403,0.588278369884771,0.4,0.5125
105,"B_p100","offindex",0.4,2,0.654476134106257,0.328151996681435,0.500779850518472,0.53404014128589,0.285,0.5
105,"B_p100","offindex",0.7,2,0.682045489611546,0.00979117015024822,0.122840584990974,0.330451637073405,0.005,0.2725
105,"B_p160","index",0.4,2,0.700087779094652,0.703086144684834,0.467462344390906,0.822872629472904,0.62,0.7975
105,"B_p160","index",0.7,2,0.643821511082785,0.935683549963073,0.320035162778507,0.707192750414069,0.875,0.56
105,"B_p160","null",0,2,0.685986085035973,0.636236962990198,0.488764498460481,0.641535977222532,0.5275,0.5425
105,"B_p160","offindex",0.4,2,0.558179513738793,0.212403859123705,0.0409440656695313,0.164448363888517,0.1125,0.0775
105,"B_p160","offindex",0.7,2,0.575826157772986,0.802738910787662,0.170944773993893,0.310088898502512,0.725,0.19
105,"B_p40","index",0.4,2,0.683256719575143,0.0872816159039953,0.158854858760267,0.0899009671509851,0.08,0.0475
105,"B_p40","index",0.7,2,0.678949212168249,0.359529636357441,0.557631928933337,0.382353095902726,0.32,0.3025
105,"B_p40","null",0,2,0.726253294998369,0.219042163066771,0.753811545153296,0.141443059858188,0.29,0.1425
105,"B_p40","offindex",0.4,2,0.656199859898646,0.858375133640866,0.694829067775046,0.557561533598079,0.8675,0.55
105,"B_p40","offindex",0.7,2,0.535094168105325,0.988553459621573,0.602773688937413,0.785264736940943,0.9875,0.745
106,"A_p5","index",0.4,3,0.899307082062807,0.0565648380138311,0.48248713310817,0.48248713310817,0.06,0.47
106,"A_p5","index",0.7,3,0.832463852842913,0.0804776582402738,0.263148227293571,0.263148227293571,0.1,0.2925
106,"A_p5","null",0,3,0.925532899809751,0.257596743835553,0.782981418282142,0.782981418282142,0.26,0.73
106,"A_p5","offindex",0.4,3,0.922231760182915,0.571511397962754,0.80499925557391,0.80499925557391,0.525,0.7875
106,"A_p5","offindex",0.7,3,0.899579918414303,0.584149725115157,0.803907608091506,0.803907608091506,0.5875,0.7775
106,"B_p100","index",0.4,2,0.646511290012843,0.772153337939234,0.380981781714799,0.606594408240755,0.7725,0.5325
106,"B_p100","index",0.7,2,0.627189137474745,0.685729069051651,0.396238073585963,0.744679652067507,0.66,0.6875
106,"B_p100","null",0,2,0.670918173100462,0.772303830484758,0.219892959674007,0.545333914924324,0.76,0.4875
106,"B_p100","offindex",0.4,2,0.575623955656136,0.862951546822476,0.621642220325404,0.409374763831496,0.86,0.29
106,"B_p100","offindex",0.7,2,0.581579741017564,0.580730245687908,0.283448537514023,0.124827092817283,0.525,0.0625
