"rep","cell","kappa","hbar","sd_eh","law_obs","tr5","normD2","g_obs","nchanged","floor_est","S_dec","v2","p_none","p_kappa","p_obs","p_obs_sh","p_law"
50,"H5_k25_ar03",0.25,0.0463827687008376,0.338035538641443,7.53092993464871,3.95458343335444,21.958114349975,5.55257329122759,195,4.875,7.7099443164177,7.7099443164177,0.0494289350970036,0.0658600269091633,0.966962919853167,0.938184284025967,0.131203601148021
51,"H5_k25_ar03",0.25,0.0467812664239924,0.295133591326237,10.0500137326367,3.77285259173369,38.5840895132517,10.2267683603089,244,6.1,4.27322019214796,4.27322019214796,0.336452512856365,0.380931378315599,0.999248719595639,0.998654882494856,0.556596671735655
52,"H5_k25_ar03",0.25,0.0464462374651693,0.307617599521423,9.11882140844866,3.70062098482593,31.6425588114601,8.55060784155082,228,5.7,11.0472946568266,11.0472946568266,0.00259428026572972,0.00429475050546535,0.961623460010995,0.935236357330388,0.0193105507504823
53,"H5_k25_ar03",0.25,0.0467461848207218,0.305279848445887,9.37898972560083,3.94123379788524,43.7086421753605,11.0900911787607,235,5.875,10.1813082901981,10.1813082901981,0.00846202269227225,0.0128806131837732,0.988875371905708,0.982737150292517,0.0462987745643104
54,"H5_k25_ar03",0.25,0.0467662133711907,0.312743363243035,8.9443379565063,3.79726637954549,41.6649249644144,10.972347157115,247,6.175,7.56795814326387,7.56795814326387,0.0440706322411561,0.0592334739857364,0.99527789611594,0.992134911682311,0.138391973697078
55,"H5_k25_ar03",0.25,0.0469823280932207,0.280251507844944,11.241729789594,3.8451966669028,48.4074942720888,12.5890815127227,257,6.425,9.82325612861749,9.82325612861749,0.00907991707520006,0.0137676011557563,0.992808321400331,0.98873538429816,0.0614283611464823
56,"H5_k25_ar03",0.25,0.0467588331371421,0.26327295377062,12.617544032916,4.13199053119998,49.9443259635651,12.0872314654266,273,6.825,9.95968658978882,9.95968658978882,0.0134946922900656,0.0199087302891106,0.993441657531579,0.989551780790498,0.0922513796641746
57,"H5_k25_ar03",0.25,0.0466986941704979,0.358866225368622,6.77336206547002,3.37501252117559,31.8560911904096,9.43880681643024,203,5.075,11.4403506311062,11.4403506311062,0.000887575801536866,0.00156553959362715,0.955735710969587,0.930212056060566,0.00540717715065941
58,"H5_k25_ar03",0.25,0.046564066026183,0.30030531819209,9.61691411307751,3.89382423361803,39.017220958301,10.02028304756,243,6.075,9.07584754183871,9.07584754183871,0.0173072590653016,0.0250041826293592,0.989290076830485,0.982167236691674,0.078294652060608
59,"H5_k25_ar03",0.25,0.0466287203731935,0.296988742172902,9.86022924000885,3.68828014111635,54.303849847725,14.7233528284239,229,5.725,14.6840367110136,14.6840367110136,0.000121532693886484,0.000247101718186982,0.980216512327645,0.972402476667769,0.00248692279805263
60,"H5_k25_ar03",0.25,0.0464911441580881,0.289534594927212,10.3133447357513,4.11032247092348,42.4784672602425,10.3345826418088,264,6.6,8.16963379882955,8.16963379882955,0.0441459776585702,0.0594181265525633,0.994491023332293,0.990614734998487,0.15727062507375
1,"H8_n800_k25",0.25,0.0368371068102583,0.553583119471054,3.54238154339249,3.97720794947432,26.3367439525794,6.62191775918087,276,3.45,2.587074566515,2.587074566515,0.735625930733326,0.767365487562462,0.999612922268454,0.999384858279811,0.793523560986714
2,"H8_n800_k25",0.25,0.0363562179101835,0.614082933139914,2.80409890436875,3.98745863276621,21.2353631085019,5.32553815956965,244,3.05,3.85338524098431,3.85338524098431,0.459110679459442,0.504196753162874,0.996542802346497,0.994536121495557,0.52727586013779
3,"H8_n800_k25",0.25,0.0369692506192523,0.524730840379127,3.97098367447488,4.06873572238923,17.4371214132579,4.2856362769658,286,3.575,7.13256174393668,7.13256174393668,0.081079378990246,0.104041897101206,0.954783092274436,0.923018094106223,0.134050706858875
4,"H8_n800_k25",0.25,0.0371721145651258,0.501913628947382,4.3879992395265,3.98870557911383,23.3903582151653,5.86414759155072,312,3.9,4.7170341544551,4.7170341544551,0.30434123321937,0.348025163478027,0.994822857869303,0.991145016886811,0.407494378597026
5,"H8_n800_k25",0.25,0.0362455300604847,0.609078565430495,2.83303712255406,3.48629763952795,18.3024315558702,5.24981899088465,238,2.975,8.66145029684223,8.66145029684223,0.0112054325003108,0.0167176528676296,0.92250321436914,0.884260390336008,0.0204465720877155
6,"H8_n800_k25",0.25,0.0363576570020882,0.613464019089855,2.80998222212423,3.62211346984621,10.4577134777609,2.88718549676052,210,2.625,4.00074085753819,4.00074085753819,0.355595579325911,0.4005279153419,0.971708741626407,0.946783646446305,0.424205920937601
7,"H8_n800_k25",0.25,0.0367341690084308,0.58774881998431,3.12497750053321,3.43974582538402,18.3443410878009,5.33305134130163,266,3.325,8.98806201572936,8.98806201572936,0.00765952425567185,0.011756769663156,0.914238091796798,0.866367429692176,0.0154794387910819
8,"H8_n800_k25",0.25,0.0364903985389061,0.57954470432674,3.17156281097951,3.59328202447949,14.8583781540836,4.13504368787639,254,3.175,5.97945459898767,5.97945459898767,0.101818135997512,0.128118408515936,0.957601080844389,0.926073938889564,0.149005213997838
9,"H8_n800_k25",0.25,0.0367452945903272,0.613664038425969,2.868349755912,3.61328524985178,14.8495057068066,4.10969648948024,258,3.225,2.71348720581723,2.71348720581723,0.645385107801519,0.683511883512676,0.997022651765613,0.994096054755175,0.703511886461203
10,"H8_n800_k25",0.25,0.0370595053214906,0.547646117651759,3.66344095664752,3.66106286597072,39.5037864859692,10.7902507911442,274,3.425,4.3120552725473,4.3120552725473,0.307359382645406,0.351011983842674,0.999278344059924,0.999014737758443,0.393969379724626
11,"H8_n800_k25",0.25,0.036771833562678,0.556797782906105,3.48919759019874,4.31855622158734,13.6025547812884,3.14979221835594,266,3.325,3.14127381036482,3.14127381036482,0.666803489872782,0.703595624324597,0.994422955519427,0.988671830791091,0.733526472260032
12,"H8_n800_k25",0.25,0.0364842751092292,0.588813855552881,3.07146371271478,3.59541740338499,13.8747035226608,3.85899659650036,238,2.975,1.25690768762986,1.25690768762986,0.94636293792261,0.954930976705723,0.999795371857002,0.999578129709204,0.959873913703366
13,"H8_n800_k25",0.25,0.0366488178957735,0.559355662964139,3.43426536994405,3.91429447294099,17.4589858516826,4.4603148721626,292,3.65,2.7282583286348,2.7282583286348,0.694678641970691,0.729584053413563,0.998224121443404,0.996492139242451,0.756918069656777
14,"H8_n800_k25",0.25,0.0367416125868082,0.522392015696506,3.95743101481527,3.93751326451407,18.9130797197897,4.80330565238711,278,3.475,4.08798661729574,4.08798661729574,0.403509727829151,0.449042526309107,0.994102793366341,0.989549352271476,0.49918404431329
15,"H8_n800_k25",0.25,0.0366120380678997,0.593291791281441,3.04649955091981,4.01292029137086,23.3530373885458,5.81946206077474,278,3.475,5.02071460167052,5.02071460167052,0.263971861566073,0.30580903141113,0.993438741600305,0.989529509992103,0.333755333650046
16,"H8_n800_k25",0.25,0.0367627062325892,0.562125708198591,3.42166934727163,3.73439524355677,16.6454918171205,4.45734603101806,284,3.55,2.90783600014192,2.90783600014192,0.620566683983102,0.660120478604836,0.997322752067419,0.994686839015516,0.691398675532256
17,"H8_n800_k25",0.25,0.0365414438420574,0.575660361962748,3.22350791511027,3.88328704585505,18.4837667681233,4.7598250013098,274,3.425,4.0708678824643,4.0708678824643,0.396025441261958,0.441484429414719,0.993642039180446,0.988739557471587,0.474869372140688
18,"H8_n800_k25",0.25,0.0365317140348499,0.556049023083342,3.45305838556454,3.99457326237557,25.7798131358715,6.45370893023508,276,3.45,2.73355452256309,2.73355452256309,0.705293490594636,0.739391514501149,0.999489309333344,0.999183084019747,0.766324366738987
19,"H8_n800_k25",0.25,0.0362370670656446,0.622059153328944,2.71476784565359,3.8558433095562,24.7278672859908,6.4130892520207,232,2.9,10.8579292967634,10.8579292967634,0.00425286174960826,0.00680492292785539,0.931808775560527,0.90792461745063,0.00839726218402048
